time_s,success,nodes_expanded,goal,route_time_s,algorithm,route_length_m,start,error
0.0008302999194711447,True,0,1769950622,,bfs,7209.482985826494,1797721033,
0.002593599958345294,True,0,1769950622,,dfs,67713.53337963928,1797721033,
0.022503799991682172,True,0,1769950622,,ucs,5404.60220918508,1797721033,
9.77418680000119,True,1275,1769950622,,iddfs,7209.482985826494,1797721033,
0.03353030001744628,True,0,1769950622,,astar,5404.60220918508,1797721033,
0.0017657000571489334,True,0,1866809385,,bfs,6727.208340752701,4303889015,
0.004464800003916025,True,0,1866809385,,dfs,94621.27757246491,4303889015,
0.025825300021097064,True,0,1866809385,,ucs,5588.972305307802,4303889015,
700.7753769999836,True,2389,1866809385,,iddfs,6727.208340752701,4303889015,
0.22740760003216565,True,0,1866809385,,astar,5588.972305307802,4303889015,
0.023232900071889162,True,0,8392811815,,bfs,5061.534835463119,8775485259,
0.09164780005812645,True,0,8392811815,,dfs,15083.542506142308,8775485259,
0.06166170001961291,True,0,8392811815,,ucs,3926.8822039214806,8775485259,
0.7263678000308573,True,537,8392811815,,iddfs,5290.68152927739,8775485259,
0.021116300020366907,True,0,8392811815,,astar,3926.8822039214806,8775485259,
0.00019589997828006744,True,0,11272235796,,bfs,2742.4337157652003,1913416802,
0.0061842999421060085,True,0,11272235796,,dfs,54496.598971680374,1913416802,
0.013871399918571115,True,0,11272235796,,ucs,2742.4337157652003,1913416802,
0.06578959990292788,True,270,11272235796,,iddfs,2742.4337157652003,1913416802,
0.0048864001873880625,True,0,11272235796,,astar,2742.4337157652003,1913416802,
0.002590100048109889,True,0,3494244146,,bfs,3586.8683597058666,1942050617,
0.009669200051575899,True,0,3494244146,,dfs,103469.87595108527,1942050617,
0.016731600044295192,True,0,3494244146,,ucs,3245.531436444641,1942050617,
31.729275499936193,True,1623,3494244146,,iddfs,3585.652553885743,1942050617,
0.012235699919983745,True,0,3494244146,,astar,3245.531436444641,1942050617,
